date,count
2019/5/16 17:05,99.33
2019/5/16 17:10,99.33
2019/5/16 17:15,99.33
2019/5/16 17:20,99.33
2019/5/16 17:25,99.24
2019/5/16 17:30,99.27
2019/5/16 17:35,99.23
2019/5/16 17:40,99.35
2019/5/16 17:45,99.38
2019/5/16 17:50,99.37
2019/5/16 17:55,99.23
2019/5/16 18:00,99.37
2019/5/16 18:05,99.34
2019/5/16 18:10,99.38
2019/5/16 18:15,99.38
2019/5/16 18:20,99.38
2019/5/16 18:25,99.43
2019/5/16 18:30,99.41
2019/5/16 18:35,99.24
2019/5/16 18:40,99.29
2019/5/16 18:45,99.35
2019/5/16 18:50,99.26
2019/5/16 18:55,99.32
2019/5/16 19:00,99.29
2019/5/16 19:05,99.24
2019/5/16 19:10,99.3
2019/5/16 19:15,99.32
2019/5/16 19:20,99.37
2019/5/16 19:25,99.27
2019/5/16 19:30,99.3
2019/5/16 19:35,99.33
2019/5/16 19:40,99.24
2019/5/16 19:45,99.33
2019/5/16 19:50,99.24
2019/5/16 19:55,99.24
2019/5/16 20:00,99.41
2019/5/16 20:05,99.47
2019/5/16 20:10,99.32
2019/5/16 20:15,99.26
2019/5/16 20:20,99.29
2019/5/16 20:25,99.29
2019/5/16 20:30,99.37
2019/5/16 20:35,99.29
2019/5/16 20:40,99.23
2019/5/16 20:45,99.23
2019/5/16 20:50,99.29
2019/5/16 20:55,99.35
2019/5/16 21:00,99.26
2019/5/16 21:05,99.24
2019/5/16 21:10,99.3
2019/5/16 21:15,99.4
2019/5/16 21:20,99.3
2019/5/16 21:25,99.35
2019/5/16 21:30,99.29
2019/5/16 21:35,99.46
2019/5/16 21:40,99.41
2019/5/16 21:45,99.21
2019/5/16 21:50,99.35
2019/5/16 21:55,99.41
2019/5/16 22:00,99.23
2019/5/16 22:05,99.35
2019/5/16 22:10,99.15
2019/5/16 22:15,99.1
2019/5/16 22:20,99.26
2019/5/16 22:25,99.33
2019/5/16 22:30,99.27
2019/5/16 22:35,99.35
2019/5/16 22:40,99.29
2019/5/16 22:45,99.26
2019/5/16 22:50,99.3
2019/5/16 22:55,99.23
2019/5/16 23:00,99.2
2019/5/16 23:05,99.38
2019/5/16 23:10,99.29
2019/5/16 23:15,99.23
2019/5/16 23:20,99.46
2019/5/16 23:25,99.27
2019/5/16 23:30,99.35
2019/5/16 23:35,99.37
2019/5/16 23:40,99.18
2019/5/16 23:45,99.33
2019/5/16 23:50,99.3
2019/5/16 23:55,99.38
2019/5/17 0:05,99.3
